start,end
2841500,2841680
2935760,2936160
3004068,3004193
3195140,3195320
6964880,6965040
7056940,7057160
7063400,7063580
7107362,7107422
7272640,7272800
7273600,7273760
7273860,7274020
7344816,7344965
7794597,7794657
7874174,7874338
8033395,8033502
8086053,8086112
8121940,8122160
8126267,8126468
8273939,8274046
8810160,8810252
10627260,10627420
10933173,10933293
11334278,11334395
12309320,12309465
12360000,12360078
12431697,12431794
12469220,12469400
12533240,12533400
12621880,12621985
12662200,12662500
12663320,12663480
12809140,12809178
12809182,12809320
12904640,12904900
12905180,12905320
12905520,12905740
13168340,13168620
13308687,13308772
13343685,13343820
13436635,13436760
13478446,13478623
13480000,13480200
13703608,13703740
13751460,13751649
15478575,15478628
15625055,15625170
15749580,15749860
15750163,15750400
16562616,16562765
17067485,17067586
17281280,17281354
17339205,17339340
17430695,17430860
18669920,18670080
18906360,18906540
18951830,18951901
19015943,19016106
19319266,19319317
19433180,19433360
19567060,19567380
19744680,19744940
19843119,19843260
20400560,20400640
20575540,20575820
