start,end
251060,251240
251500,251700
251720,251980
252220,252380
252520,253040
253180,253400
253580,253606
253757,253880
254801,255157
256100,256381
257220,257300
257616,257719
257790,258352
258660,258903
259760,260220
261240,261400
261560,261840
262660,262860
264940,265120
276260,276440
276638,276715
276780,276980
278294,278404
279054,279255
280096,280397
281180,281420
283320,283500
305020,305283
305940,306131
315400,315660
317517,317655
318080,318380
318820,319100
320989,321059
323040,323121
323380,323547
323850,324000
324240,324420
324800,324980
339200,339336
357780,357980
367636,367840
368920,369160
369320,369520
373920,374140
374160,374340
386251,386374
387180,387420
390880,391080
402980,403120
426980,427160
427800,427980
431224,431280
435813,435880
444030,444060
451941,452050
455440,455751
476360,476481
482600,482880
482940,483180
485778,485855
521700,521920
526360,526600
538478,538664
541560,541720
542300,542560
580120,580300
581840,582160
583260,583428
584929,585053
623540,623920
624459,624582
627200,627440
627576,627677
629700,629900
630786,631160
632700,632761
635931,636066
642980,643194
644900,645060
655860,655915
657320,657414
666745,667000
667340,667780
673040,673220
704020,704140
704163,704311
723900,724120
724380,724580
727940,728140
750408,750585
857073,857160
990120,990400
991891,992026
993180,993380
1072716,1072875
1073140,1073218
1081809,1081980
1084760,1084940
1086020,1086160
1086300,1086520
1086680,1086960
1107000,1107220
1120340,1120520
1126582,1126708
1142680,1142840
1154020,1154400
1157660,1157840
1163266,1163461
1164780,1165020
1165880,1166140
1167500,1167680
1168704,1168860
1169023,1169320
1178600,1178800
1205560,1206200
1207691,1207771
1208540,1208700
1212620,1212880
1222980,1223240
1242873,1243040
1243200,1243400
1244740,1244960
1246880,1247040
1248520,1248880
1249320,1249700
1264640,1264840
1268660,1268880
1269220,1269380
1279671,1279733
1281620,1281820
1316620,1316829
1323360,1323560
1324800,1324880
1325517,1325832
1335040,1335240
1336380,1336580
1361379,1361480
1380969,1381085
1383675,1383806
1391600,1391820
1392120,1392400
1392601,1392840
1392920,1393140
1393460,1393619
1414710,1414852
1421900,1422120
1422642,1422797
1447380,1447455
1452980,1453340
1454240,1454480
1462720,1463000
