start,end
19960,20220
226680,226815
251500,251780
261620,261840
276220,276400
276700,277000
278960,279200
280080,280260
281220,281460
283300,283520
315500,315680
317514,317580
317860,318440
318820,319180
319607,319700
320280,320840
320900,321140
322619,322768
323380,323547
323850,323980
324260,324440
369300,369500
372020,372192
384980,385180
385850,386014
386220,386440
386860,387040
387180,387420
387720,387984
427800,427960
428140,428340
476300,476500
482760,482900
482920,483260
542300,542540
623545,623760
685240,685321
728000,728120
990060,990400
991020,991254
1060020,1060080
1060340,1060500
1072720,1072920
1073080,1073320
1107072,1107260
1120340,1120500
1157626,1157800
1164706,1164960
1178700,1178767
1206180,1206225
1206232,1206520
1239880,1240080
1244820,1244980
1246860,1247040
1249620,1249840
1308100,1308300
1323360,1323540
1341928,1341988
1361400,1361558
1382260,1382520
1383160,1383520
1383660,1383880
1384084,1384320
1384760,1384980
1385350,1385500
1385715,1385862
1391569,1391820
1392120,1392420
1392660,1392860
1392960,1393120
1393500,1393580
1394020,1394200
1394640,1394840
1401020,1401440
1420600,1420820
1452920,1453300
1454260,1454460
1462700,1463000
1478200,1478460
1481040,1481200
1481840,1482060
1492054,1492260
1502280,1502480
1505200,1505420
1537520,1537680
1559940,1560100
1571080,1571203
1581240,1581400
1583120,1583300
1591420,1591620
1592134,1592220
1592440,1592760
1592860,1593080
1604815,1604976
1621160,1621320
1623060,1623260
1648680,1648860
1652360,1652520
1657659,1657809
1661135,1661260
1661440,1661760
1673400,1673540
1749629,1749800
1781777,1781856
1830700,1830840
1863296,1863383
1885236,1885388
1888480,1888660
1899119,1899240
1911872,1912007
1914724,1914920
2152520,2152700
2159480,2159680
2160300,2160480
2168329,2168474
2187760,2187980
2188400,2188580
2193020,2193200
2233120,2233320
2233420,2233600
2244000,2244200
2253140,2253540
2317300,2317460
2317740,2317960
2318540,2318780
2319160,2319320
2319763,2319920
2320160,2320360
2325160,2325380
2342940,2343160
2343520,2343719
2352400,2352640
2360820,2361100
2371040,2371300
2371440,2371694
2387720,2387900
2391987,2392083
2396666,2396724
2442844,2443005
2450389,2450493
2451820,2452360
2452380,2452740
2457340,2457620
2457740,2458080
2464060,2464340
