gene_name,gene_id,Transcript Flag,num_tss,num_tss_binned
A1BG,ENSG00000121410.13,GENCODE Basic,2,2
A1BG,ENSG00000121410.13,GENCODE Comprehensive,5,5
A1BG,ENSG00000121410.13,GENCODE Primary,1,1
A1BG,ENSG00000121410.13,Protein Coding (contains an ORF),3,3
A1CF,ENSG00000148584.16,GENCODE Basic,3,3
A1CF,ENSG00000148584.16,GENCODE Comprehensive,4,4
A1CF,ENSG00000148584.16,GENCODE Primary,2,2
A1CF,ENSG00000148584.16,Protein Coding (contains an ORF),3,3
A2M,ENSG00000175899.15,GENCODE Basic,1,1
A2M,ENSG00000175899.15,GENCODE Comprehensive,13,>10
A2M,ENSG00000175899.15,GENCODE Primary,1,1
A2M,ENSG00000175899.15,Protein Coding (contains an ORF),2,2
A2ML1,ENSG00000166535.20,GENCODE Basic,2,2
A2ML1,ENSG00000166535.20,GENCODE Comprehensive,9,9
A2ML1,ENSG00000166535.20,GENCODE Primary,1,1
A2ML1,ENSG00000166535.20,Protein Coding (contains an ORF),5,5
A3GALT2,ENSG00000184389.9,GENCODE Basic,1,1
A3GALT2,ENSG00000184389.9,GENCODE Comprehensive,1,1
A3GALT2,ENSG00000184389.9,GENCODE Primary,1,1
A3GALT2,ENSG00000184389.9,Protein Coding (contains an ORF),1,1
A4GALT,ENSG00000128274.17,GENCODE Basic,4,4
A4GALT,ENSG00000128274.17,GENCODE Comprehensive,7,7
A4GALT,ENSG00000128274.17,GENCODE Primary,1,1
A4GALT,ENSG00000128274.17,Protein Coding (contains an ORF),4,4
A4GNT,ENSG00000118017.4,GENCODE Basic,1,1
A4GNT,ENSG00000118017.4,GENCODE Comprehensive,1,1
A4GNT,ENSG00000118017.4,GENCODE Primary,1,1
A4GNT,ENSG00000118017.4,Protein Coding (contains an ORF),1,1
AAAS,ENSG00000094914.14,GENCODE Basic,4,4
AAAS,ENSG00000094914.14,GENCODE Comprehensive,18,>10
AAAS,ENSG00000094914.14,GENCODE Primary,3,3
AAAS,ENSG00000094914.14,Protein Coding (contains an ORF),5,5
AACS,ENSG00000081760.17,GENCODE Basic,1,1
AACS,ENSG00000081760.17,GENCODE Comprehensive,12,>10
AACS,ENSG00000081760.17,GENCODE Primary,1,1
AACS,ENSG00000081760.17,Protein Coding (contains an ORF),1,1
AADAC,ENSG00000114771.14,GENCODE Basic,2,2
AADAC,ENSG00000114771.14,GENCODE Comprehensive,2,2
AADAC,ENSG00000114771.14,GENCODE Primary,1,1
AADAC,ENSG00000114771.14,Protein Coding (contains an ORF),2,2
AADACL2,ENSG00000197953.6,GENCODE Basic,1,1
AADACL2,ENSG00000197953.6,GENCODE Comprehensive,2,2
AADACL2,ENSG00000197953.6,GENCODE Primary,1,1
AADACL2,ENSG00000197953.6,Protein Coding (contains an ORF),1,1
AADACL3,ENSG00000188984.12,GENCODE Basic,1,1
AADACL3,ENSG00000188984.12,GENCODE Comprehensive,2,2
AADACL3,ENSG00000188984.12,GENCODE Primary,1,1
AADACL3,ENSG00000188984.12,Protein Coding (contains an ORF),1,1
AADACL4,ENSG00000204518.3,GENCODE Basic,1,1
AADACL4,ENSG00000204518.3,GENCODE Comprehensive,1,1
AADACL4,ENSG00000204518.3,GENCODE Primary,1,1
AADACL4,ENSG00000204518.3,Protein Coding (contains an ORF),1,1
AADAT,ENSG00000109576.14,GENCODE Basic,4,4
AADAT,ENSG00000109576.14,GENCODE Comprehensive,8,8
AADAT,ENSG00000109576.14,GENCODE Primary,1,1
AADAT,ENSG00000109576.14,Protein Coding (contains an ORF),7,7
AAGAB,ENSG00000103591.13,GENCODE Basic,3,3
AAGAB,ENSG00000103591.13,GENCODE Comprehensive,6,6
AAGAB,ENSG00000103591.13,GENCODE Primary,1,1
AAGAB,ENSG00000103591.13,Protein Coding (contains an ORF),4,4
AAK1,ENSG00000115977.21,GENCODE Basic,3,3
AAK1,ENSG00000115977.21,GENCODE Comprehensive,11,>10
AAK1,ENSG00000115977.21,GENCODE Primary,3,3
AAK1,ENSG00000115977.21,Protein Coding (contains an ORF),5,5
AAMDC,ENSG00000087884.16,GENCODE Basic,8,8
AAMDC,ENSG00000087884.16,GENCODE Comprehensive,11,>10
AAMDC,ENSG00000087884.16,GENCODE Primary,2,2
AAMDC,ENSG00000087884.16,Protein Coding (contains an ORF),8,8
AAMP,ENSG00000127837.10,GENCODE Basic,3,3
AAMP,ENSG00000127837.10,GENCODE Comprehensive,10,10
AAMP,ENSG00000127837.10,GENCODE Primary,2,2
AAMP,ENSG00000127837.10,Protein Coding (contains an ORF),5,5
AANAT,ENSG00000129673.10,GENCODE Basic,2,2
AANAT,ENSG00000129673.10,GENCODE Comprehensive,4,4
AANAT,ENSG00000129673.10,GENCODE Primary,1,1
AANAT,ENSG00000129673.10,Protein Coding (contains an ORF),3,3
AAR2,ENSG00000131043.13,GENCODE Basic,8,8
AAR2,ENSG00000131043.13,GENCODE Comprehensive,8,8
AAR2,ENSG00000131043.13,GENCODE Primary,1,1
AAR2,ENSG00000131043.13,Protein Coding (contains an ORF),8,8
