Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Gene start (bp),Overlapping Gene end (bp),Selected Strand,Selected Gene name,Selected Gene start (bp),Selected Gene end (bp),overlap type
ENSG00000099721,ENSG00000092377,1,TBL1Y,6910697,7091683,-1,AMELY,6865918,6911752,5.0
ENSG00000092377,ENSG00000099721,-1,AMELY,6865918,6911752,1,TBL1Y,6910686,7101970,5.0
ENSG00000102547,ENSG00000136169,1,SETDB2,49444274,49495003,-1,CAB39L,49308650,49444064,2.0
ENSG00000136147,ENSG00000136169,1,SETDB2,49444274,49495003,1,PHF11,49495610,49528981,1.0
ENSG00000204899,ENSG00000136122,1,BORA,72727923,72756196,-1,MZT1,72708367,72727629,2.0
ENSG00000120685,ENSG00000188811,1,NHLRC3,39038456,39050109,-1,PROSER1,39009865,39038089,2.0
ENSG00000083535,ENSG00000083520,-1,DIS3,72752169,72781900,1,PIBF1,72782133,73016461,2.0
ENSG00000136122,ENSG00000204899,-1,MZT1,72708367,72727629,1,BORA,72727749,72756198,2.0
ENSG00000188811,ENSG00000120685,-1,PROSER1,39009865,39038089,1,NHLRC3,39038306,39050109,2.0
ENSG00000083520,ENSG00000083535,1,PIBF1,72782133,73016461,-1,DIS3,72752169,72782096,2.0
ENSG00000134871,ENSG00000187498,-1,COL4A1,110148963,110307157,1,COL4A2,110305812,110513209,5.0
ENSG00000187498,ENSG00000134871,1,COL4A2,110307284,110513209,-1,COL4A1,110148963,110307157,5.0
ENSG00000139797,ENSG00000152767,1,FARP1,98143094,98455176,-1,RNF113B,98175785,98177269,5.0
ENSG00000198553,ENSG00000204977,1,TRIM13,49997042,50018467,1,KCNRG,50015254,50020922,6.0
ENSG00000189167,ENSG00000139618,1,BRCA2,32315508,32400268,-1,ZAR1L,32303699,32315363,2.0
ENSG00000134897,ENSG00000134901,-1,POGLUT2,102784281,102798976,1,BIVM,102799119,102841533,2.0
ENSG00000169508,ENSG00000134882,1,UBAC2,99200854,99386504,-1,GPR183,99294539,99307399,5.0
ENSG00000125245,ENSG00000134882,1,UBAC2,99200854,99386504,-1,GPR18,99254732,99261744,5.0
ENSG00000139679,ENSG00000139687,1,RB1,48303751,48481890,-1,LPAR6,48389567,48444704,5.0
ENSG00000253797,ENSG00000253710,1,ALG11,52012398,52033600,1,UTP14C,52024691,52033600,6.0
ENSG00000123191,ENSG00000253710,1,ALG11,52012398,52033600,-1,ATP7B,51930436,52012125,2.0
ENSG00000288716,ENSG00000005810,-1,MYCBP2,77044657,77327094,-1,,77326905,77326988,3.0
ENSG00000136169,ENSG00000102547,-1,CAB39L,49308650,49444064,1,SETDB2,49444274,49495003,2.0
ENSG00000165480,ENSG00000173141,1,MRPL57,21176658,21179084,-1,SKA3,21153595,21176552,2.0
ENSG00000173141,ENSG00000165480,-1,SKA3,21153595,21176552,1,MRPL57,21176658,21179084,2.0
ENSG00000151773,ENSG00000179630,1,LACC1,43879904,43893932,-1,CCDC122,43823909,43879740,2.0
ENSG00000179630,ENSG00000151773,-1,CCDC122,43836352,43879740,1,LACC1,43879284,43893932,2.0
ENSG00000150401,ENSG00000150403,1,TMCO3,113491021,113550229,-1,DCUN1D2,113455819,113490951,2.0
ENSG00000150403,ENSG00000150401,-1,DCUN1D2,113455819,113490711,1,TMCO3,113491021,113554590,2.0
ENSG00000123200,ENSG00000080618,-1,CPB2,46053186,46105033,-1,ZC3H13,45954465,46052759,1.0
ENSG00000005810,ENSG00000288716,-1,,77326905,77326988,-1,MYCBP2,77042474,77327094,3.0
ENSG00000253710,ENSG00000123191,-1,ATP7B,51932669,52011450,1,ALG11,52012391,52079232,2.0
ENSG00000126226,ENSG00000139842,1,CUL4A,113209613,113267108,-1,PCID2,113177536,113208715,2.0
ENSG00000139842,ENSG00000126226,-1,PCID2,113177536,113208669,1,CUL4A,113208193,113267108,2.0
ENSG00000134901,ENSG00000134897,1,BIVM,102799119,102841533,-1,POGLUT2,102784281,102799040,2.0
ENSG00000083635,ENSG00000133114,1,GPALPP1,44989538,45030305,-1,NUFIP1,44939249,44989471,2.0
ENSG00000133114,ENSG00000083635,-1,NUFIP1,44939249,44989471,1,GPALPP1,44989529,45037669,2.0
ENSG00000180332,ENSG00000188342,1,GTF2F2,45120510,45284893,-1,KCTD4,45192853,45201045,5.0
ENSG00000180660,ENSG00000172915,1,NBEA,34942270,35672736,-1,MAB21L1,35473419,35478764,5.0
ENSG00000139618,ENSG00000189167,-1,ZAR1L,32303699,32315363,1,BRCA2,32315086,32400268,2.0
ENSG00000243927,ENSG00000198743,1,SLC5A3,34073578,34106260,1,MRPS6,34073224,34143034,3.0
ENSG00000198743,ENSG00000243927,1,MRPS6,34073578,34143030,1,SLC5A3,34073578,34106260,3.0
