start,end
11760,11933
42999,43139
54360,54520
66580,66638
111240,111420
243477,243585
264740,264940
294160,294360
354440,354640
365400,365600
365980,366260
377180,377380
380940,381120
385281,385486
414200,414360
426140,426340
468280,468436
481820,481960
535680,535860
632680,632860
663666,663720
713260,713460
715489,715540
815635,815688
860662,860716
902260,902460
935273,935438
1043099,1043160
1082120,1082320
1087437,1087548
1118193,1118327
1235840,1235940
1250420,1250596
1251842,1251962
1275600,1275760
1348704,1348790
1367580,1367740
1439500,1439660
1468261,1468440
1499811,1499867
1988120,1988280
2036187,2036287
2098540,2098720
2099504,2099680
2128604,2128698
2156380,2156520
2166660,2166800
2239463,2239543
2268880,2269060
2270859,2270922
2303677,2303816
2354900,2355120
2540312,2540416
2597640,2597743
2623454,2623705
2765120,2765300
2810891,2810944
2853746,2853880
2879179,2879285
2922000,2922140
2923560,2923615
2969264,2969380
2973970,2974028
2980720,2980940
3013460,3013626
3015580,3015780
3038820,3038943
3065960,3066140
3089213,3089279
3110320,3110520
3126800,3127020
3127720,3127900
3133611,3133700
3171100,3171300
3178020,3178169
3179154,3179265
3179660,3179840
3196240,3196420
3200760,3200920
3230386,3230458
3243523,3243667
3270161,3270291
3366471,3366607
3390079,3390132
3604320,3604520
3665021,3665200
3665631,3665785
3923743,3923794
3998260,3998440
4021253,4021412
4060215,4060380
4107619,4107708
4139580,4139740
4167381,4167492
4198293,4198344
4245780,4245960
4271980,4272140
4290400,4290600
4303220,4303380
4303460,4303660
4314004,4314220
4314800,4314976
4322740,4322900
4340693,4340784
4350920,4351100
4407020,4407240
4417000,4417240
4421280,4421460
4426860,4427040
4466760,4466980
4467180,4467380
4472900,4473054
4474840,4475100
4492240,4492460
4492700,4492960
4493200,4493420
4494020,4494257
4504839,4504980
4531502,4531675
4563076,4563149
4571860,4572220
4588540,4588686
4633480,4633700
4650640,4650880
4656080,4656280
4670440,4670600
4681121,4681298
4687288,4687360
4711480,4711660
4712183,4712360
4720800,4721000
4721500,4721860
4722200,4722400
4726717,4726771
4729462,4729591
4730496,4730553
4741700,4741940
4742460,4742640
4743667,4743740
4744400,4744820
4745340,4745580
4746600,4746900
4747096,4747180
4751083,4751228
4751580,4751840
4752280,4752520
4752680,4752977
4760039,4760229
4772284,4772380
4776710,4776871
4777120,4777340
4780650,4780943
4817180,4817360
4821540,4821740
4824240,4824420
4824960,4825220
4825940,4826180
4826240,4826680
4827860,4828040
4828300,4828520
4828620,4828800
4829060,4829300
4831280,4831520
4839407,4839580
4864623,4864791
4866900,4867120
4867660,4867960
4868320,4868600
4879360,4879520
4887258,4887372
4890064,4890189
4906300,4906595
4930656,4930767
4943680,4943820
4946899,4947017
4948540,4948720
4951040,4951300
4976220,4976380
4977200,4977440
4977540,4977860
4978640,4979080
4979140,4979380
4980320,4980640
4980880,4981120
4981360,4981720
4981851,4982080
4982820,4983740
4983820,4984280
4984540,4984820
4985820,4986157
4986840,4987200
4989120,4989620
4990120,4990360
4994400,4994592
4995020,4995220
4995720,4995819
5013320,5013580
5016400,5016540
5016640,5016860
5017940,5018300
5019540,5019780
5021800,5022080
5022284,5022625
5022960,5023100
5023280,5023640
5026340,5026640
5026840,5027140
5051876,5052011
5055784,5055879
5057379,5057460
5057880,5058080
5058540,5058860
5068090,5068160
5071200,5071440
5078260,5078460
5092106,5092243
5108920,5108988
5110380,5110640
5115740,5115940
5122100,5122320
5122760,5123000
5136760,5136940
5162191,5162300
5186920,5187160
5187360,5187720
5188040,5188280
5188720,5188960
5194860,5195020
5226880,5227060
5227967,5228080
5232706,5232880
5235809,5235906
5239828,5239956
5246780,5246980
5250980,5251140
5264260,5264500
5294439,5294620
5305500,5305680
5322060,5322240
5322720,5323000
5323200,5323420
5330440,5330680
5344299,5344467
5348164,5348460
5348600,5348780
5349360,5349600
5389120,5389393
5426440,5426640
5442560,5442800
5479323,5479500
5495035,5495132
5507540,5507720
5520320,5520500
5568560,5568740
5584000,5584160
5729960,5730128
5731200,5731375
5767418,5767480
5787989,5788175
5791640,5791840
5798920,5799120
5799520,5799600
5806320,5806420
5891682,5891941
5906020,5906283
5972777,5972800
6078480,6078537
6166088,6166145
6179947,6180009
6205023,6205136
6255397,6255496
6330560,6330636
6396809,6396874
6425593,6425690
6577975,6578085
6743207,6743280
6779240,6779400
6791347,6791407
6799400,6799580
6808160,6808327
6863347,6863480
6883854,6883905
6910587,6910660
6936093,6936239
6994420,6994580
7005040,7005117
7058694,7058858
7074269,7074455
7112650,7112705
7144800,7145000
7196513,7196581
7285640,7285800
7341030,7341099
7382420,7382620
7382800,7383040
7391145,7391297
7407200,7407380
7469060,7469280
7487860,7488060
7489460,7489660
7504880,7505080
7505220,7505360
7509020,7509209
7543387,7543549
7546320,7546500
7728793,7728893
7779474,7779613
7788027,7788114
7800500,7800631
7977426,7977539
7977860,7978060
8041074,8041202
8095840,8096020
8111300,8111500
8113838,8113898
8164260,8164460
8166140,8166340
8176872,8177009
8205285,8205447
8210878,8211009
8220400,8220591
8239820,8240000
8278580,8278760
8282620,8282800
8302080,8302260
8307688,8307831
8320080,8320240
8324840,8325040
8336565,8336740
8345560,8345688
8371362,8371449
8417080,8417260
8417460,8417700
8421403,8421571
8438717,8438920
8442140,8442320
8443380,8443620
8443807,8444060
8444400,8444700
8444931,8445086
8445940,8446140
8446980,8447160
8450700,8450920
8456193,8456326
8456460,8456760
8483340,8483600
8488541,8488627
8490080,8490260
8491789,8491900
8497680,8497896
8500740,8500960
8501580,8501900
8502456,8502660
8503540,8503720
8503820,8504100
8510007,8510220
8529300,8529539
8529860,8530035
8530200,8530402
8532360,8532560
8536780,8536960
8560720,8560780
8607620,8607800
8623000,8623180
8626120,8626279
8629560,8629800
8631720,8631911
8632622,8632841
8652100,8652181
8653960,8654080
8658420,8658683
8663580,8663760
8680280,8680380
8683060,8683146
8702665,8702817
8714020,8714200
8740180,8740380
8741600,8741820
8743360,8743600
8755560,8755920
8769400,8769680
8776508,8776769
8793260,8793460
8837283,8837400
8840040,8840220
8840600,8840860
8845740,8845940
8851780,8852000
8869760,8869980
8870240,8870476
8900212,8900317
8931446,8931589
8937140,8937340
8938140,8938320
8962336,8962478
8963400,8963640
8964148,8964317
8964920,8965140
8971120,8971260
8971417,8971484
8972224,8972282
8972660,8972840
8987720,8987880
8988060,8988220
9014267,9014460
9067460,9067640
9078910,9079092
9119056,9119180
9130800,9130997
9151300,9151520
9157767,9157940
9172880,9173148
9175480,9175760
9192366,9192492
9194567,9194800
9224646,9224760
9249600,9249800
9280066,9280286
9301186,9301353
9302620,9302800
9304028,9304135
9307302,9307480
9333855,9333915
9340520,9340700
9349842,9349972
9353260,9353460
9362900,9363120
9363240,9363480
9396240,9396540
9396800,9397200
9397360,9397640
9398420,9398680
9398820,9399040
9399820,9400040
9400743,9400916
9402960,9403120
9404800,9404980
9416200,9416800
9420940,9421120
9422800,9423000
9423220,9423420
9500660,9500820
9503320,9503480
9508298,9508428
9512620,9512828
9552286,9552480
9600680,9600920
9623243,9623387
9642760,9642920
9649260,9649480
9705000,9705240
9715900,9716100
9721127,9721248
9727060,9727260
9731260,9731520
9749840,9750060
9750909,9751140
9765995,9766135
9769880,9770180
9770580,9770780
9782880,9783040
9786970,9787140
9792420,9792620
9792700,9793080
9793400,9793700
9800640,9800820
9808780,9808980
9809280,9809540
