start,end
39003,39117
41080,41280
41820,41927
42120,42340
48220,48389
52960,53180
53580,53840
54080,54313
65760,65940
72000,72320
72600,72760
75960,76140
76280,76500
76780,77040
77420,77760
78100,78300
78462,78600
78860,79019
91493,91609
94320,94449
94961,95139
97040,97220
105020,105240
105642,105839
107120,107300
113460,113720
114193,114258
116120,116300
117840,118020
118516,118608
119509,119760
120000,120180
132240,132420
136240,136440
137280,137480
138020,138380
138600,138820
142600,142840
143100,143300
144920,145200
152520,152720
152858,153020
153074,153291
154420,154620
163770,163881
165000,165280
170154,170240
174460,174620
174920,175740
177449,177697
178260,178520
179436,179545
180300,180540
180640,180860
180980,181320
181440,181620
181810,182065
208494,208620
228620,228820
229060,229280
229360,229540
234640,234860
235000,235700
240000,240180
242120,242200
252780,252960
254009,254107
258140,258231
259340,259540
259782,259966
268821,268878
273680,273840
279040,279240
280584,280736
287454,287640
303783,303963
309560,309780
318760,318960
323669,323820
324020,324220
324420,324680
331840,332220
332906,333036
336317,336492
342035,342140
351424,351635
351879,352149
352720,353160
353950,354046
360863,360937
362240,362420
362500,362673
364620,364800
364980,365107
369620,369840
370060,370260
370520,370720
371000,371200
371930,372022
381160,381500
381620,381800
381900,382100
382361,382551
386720,386900
386999,387088
388300,388500
389480,389600
391920,392120
392729,392945
395783,395900
396040,396300
396640,396840
397160,397440
397780,397980
398120,398340
398960,399140
399500,399740
400013,400247
400300,400640
400820,401080
401740,402056
402260,402659
405840,406040
422300,422480
423036,423144
424005,424100
424320,424420
424820,425040
425280,425331
425480,425700
425940,426100
426318,427060
456900,457080
466874,466999
467300,467600
468182,468356
473140,473300
483700,484000
487800,487980
491360,491520
495520,495700
516398,516572
522540,522716
525680,525880
526760,526964
527360,527780
528180,528420
528780,529024
535620,535740
547140,547300
566880,567080
567200,567380
568780,569000
569560,569760
569800,570020
570860,571024
579200,579400
585557,585617
588240,588500
588680,589040
589180,589380
589500,589660
589820,590060
590491,590820
591100,591360
592601,592860
592905,593012
611205,611305
622280,622500
623060,623240
624100,624175
626920,627100
627473,627829
629880,630080
630760,631020
631200,631400
635620,635860
636300,636520
636620,636960
637025,637260
637540,637740
637760,638000
638117,638236
641720,641920
642260,642460
660760,660960
667940,668180
668620,668880
669080,669298
674560,674780
674920,675042
675140,675380
679380,679580
679820,680180
680240,680440
681000,681280
681700,681900
682770,682866
683660,683940
684300,684520
686100,686275
689805,689880
690360,690520
694308,694540
695340,695520
695780,696000
700700,700880
701510,701573
701720,701920
705800,706020
709660,709840
711820,712000
712940,713100
714940,715140
715680,715880
716280,716440
719880,720080
720440,720660
721020,721220
721400,721590
722040,722400
723162,723357
726900,727320
727640,727880
728243,728500
728720,729020
733775,733940
734020,734220
734445,734638
735970,736114
737740,737920
740144,740344
740500,740700
740880,741140
742963,743133
745820,745980
757580,757800
777940,778140
783980,784160
785640,785840
787560,788080
788440,788680
796118,796270
797120,797360
800380,800440
800680,800880
807075,807360
807760,808000
813760,813940
821925,821995
841212,841374
842241,842460
866399,866536
874520,874720
878560,878719
890440,890660
892656,892800
893462,893640
894920,895080
918183,918336
921223,921380
936907,937058
937840,938000
951800,952020
970200,970440
970840,971180
976367,976572
978630,978764
980900,981120
981480,981719
985419,985478
988817,988904
1002820,1003020
1020060,1020180
1028209,1028291
1037126,1037200
1043060,1043240
1044800,1045000
1048540,1048740
1055180,1055340
1057560,1057740
1074043,1074219
1082600,1082760
1089900,1090080
1091320,1091580
1093480,1093680
1102940,1103100
1106380,1106560
1114220,1114340
1115193,1115280
1120240,1120420
1121920,1122140
1123966,1124111
1125520,1125740
1137680,1137880
1146540,1146700
1150800,1150980
1152386,1152600
1152700,1153220
1158482,1158639
