start,end
18212141,18212195
19439140,19439268
19564920,19565180
19565479,19565620
19587540,19587700
19587783,19587906
19597000,19597200
19601940,19602070
19605580,19605780
19619020,19619220
19633480,19633660
19782680,19782736
19782900,19783140
19794660,19794860
19813540,19813760
19818320,19818520
19845840,19846040
19861000,19861220
19863520,19863860
19864861,19864997
19899523,19899584
19910400,19910600
19926220,19926380
19926680,19926900
19927200,19927400
19958520,19958780
19959380,19959740
19960180,19960360
19984800,19984980
20021420,20021740
20119220,20119340
20120620,20120840
20127880,20127956
20161000,20161220
20161560,20161696
20163480,20163660
20174900,20175120
20182360,20182540
20191639,20191770
20197460,20197640
20294620,20294780
20305798,20305878
20359500,20359660
20371207,20371274
20419940,20420200
20441980,20442200
20461637,20461690
20489300,20489480
20492740,20492940
20495220,20495400
20525814,20525948
20526087,20526260
20565290,20565520
20566440,20566920
20567140,20567300
20704140,20704420
20712660,20712840
20773160,20773360
20773380,20773740
20773880,20774100
20828620,20828820
20902040,20902240
20902680,20902880
20924900,20925080
20943620,20943840
20969320,20969540
21010740,21010900
21017420,21017620
21034000,21034220
21061540,21061780
21069626,21069790
21110860,21111020
21137800,21137980
21140280,21140620
21176540,21176740
21180820,21181020
21242300,21242460
21297040,21297260
21298000,21298220
21399833,21400040
21402720,21402900
21435960,21436140
21442366,21442520
21458480,21458640
21459260,21459460
21477100,21477280
21479020,21479200
21558120,21558320
21603760,21603980
21604120,21604300
21625480,21625660
21637360,21637580
21638320,21638480
21670376,21670500
21670920,21671160
21673845,21673916
21759218,21759286
21813220,21813380
21813820,21813930
21849460,21849640
21909480,21909620
21913100,21913260
21924642,21924740
21968118,21968197
22014586,22014755
22047660,22047940
22107660,22107745
22173680,22173880
22196920,22197060
22200861,22201060
22235465,22235576
22235700,22235880
22236057,22236111
22278420,22278600
22298676,22298839
22372440,22372561
22432744,22432904
22549284,22549393
22592678,22592815
22630180,22630291
22703760,22704100
22735487,22735616
22740380,22740540
22744808,22745000
22745240,22745480
22757620,22757800
22789100,22789620
22790040,22790260
22793580,22794000
22796180,22796380
22801509,22801640
22828180,22828360
22863838,22863860
22915620,22915840
22965345,22965483
22992600,22992780
23020340,23020540
23087980,23088160
23111743,23111826
23140700,23140792
23176060,23176200
23222163,23222276
23225923,23226000
23319740,23319920
23321540,23321700
23375500,23375820
23406960,23407160
23466320,23466560
23466760,23466960
23511080,23511300
23554100,23554300
23558900,23559288
23578784,23578960
23579160,23579400
23621432,23621515
23635040,23635180
23667939,23668014
23707840,23708000
23715880,23716080
23741980,23742140
23871720,23871880
23888680,23888860
23889380,23889580
23915420,23915620
23921460,23921660
23929080,23929191
23956200,23956380
23960660,23960820
23980280,23980373
24020420,24020620
24053225,24053313
24053480,24053720
24127224,24127460
24148860,24149080
24160500,24160760
24208440,24208620
24220200,24220400
24226125,24226194
24228920,24229080
24341500,24341740
24348840,24349060
24349200,24349400
24407985,24408097
24424377,24424473
24455107,24455157
24468224,24468275
24502860,24503060
24511135,24511460
24511560,24511760
24512140,24512400
24512420,24512620
24512680,24512880
24555100,24555280
24564146,24564224
24567720,24567900
24580380,24580580
24605940,24606120
24627200,24627360
24630940,24631077
24671000,24671200
24671460,24671640
24683963,24684160
24694180,24694380
24728120,24728280
24741395,24741496
24866636,24866785
24911194,24911287
24922840,24923080
24968515,24968560
24995340,24995500
24997460,24997620
25002360,25002600
25005200,25005420
25037340,25037520
25062697,25062720
25085260,25085420
25114260,25114440
25214820,25215040
25233040,25233260
25249286,25249392
25287420,25287660
