start,end
4102240,4102380
5327760,5327829
7300020,7300145
7527180,7527240
10092421,10092580
10093200,10093340
10175640,10175780
10627260,10627420
11022868,11022981
11099580,11099740
11103120,11103286
11255861,11255935
11334278,11334400
11435703,11435833
11986418,11986540
12136840,12136920
12347340,12347500
12394980,12395092
12493660,12493760
14856860,14856953
15513880,15514000
15712520,15712595
16270280,16270377
16818820,16818840
16857700,16857820
19114569,19114680
19167520,19167640
19378884,19378920
19659340,19659460
20002560,20002680
20383700,20383773
26315200,26315360
26403187,26403300
