chrom	tss_pos	strand	gene	gene_id	transcript_id
chr1	65418	1	OR4F5	ENSG00000186092	ENST00000641515.2
chr1	451677	-1	OR4F29	ENSG00000284733	ENST00000426406.4
chr1	686653	-1	OR4F16	ENSG00000284662	ENST00000332831.5
chr1	923922	1	SAMD11	ENSG00000187634	ENST00000618323.5
chr1	959255	-1	NOC2L	ENSG00000188976	ENST00000327044.7
chr1	960583	1	KLHL17	ENSG00000187961	ENST00000338591.8
chr1	966481	1	PLEKHN1	ENSG00000187583	ENST00000379410.8
chr1	982092	-1	PERM1	ENSG00000187642	ENST00000341290.6
chr1	1000096	-1	HES4	ENSG00000188290	ENST00000304952.11
chr1	1013496	1	ISG15	ENSG00000187608	ENST00000649529.1
chr1	1020119	1	AGRN	ENSG00000188157	ENST00000379370.7
chr1	1074305	-1	RNF223	ENSG00000237330	ENST00000453464.3
chr1	1116088	-1	C1orf159	ENSG00000131591	ENST00000421241.7
chr1	1173879	1	TTLL10	ENSG00000162571	ENST00000379290.6
chr1	1206591	-1	TNFRSF18	ENSG00000186891	ENST00000379268.7
chr1	1214152	-1	TNFRSF4	ENSG00000186827	ENST00000379236.4
chr1	1232000	-1	SDF4	ENSG00000078808	ENST00000360001.12
chr1	1232236	1	B3GALT6	ENSG00000176022	ENST00000379198.5
chr1	1246721	-1	C1QTNF12	ENSG00000184163	ENST00000330388.2
chr1	1273832	-1	UBE2J2	ENSG00000160087	ENST00000400930.8
chr1	1287108	1	SCNN1D	ENSG00000162572	ENST00000379099.3
chr1	1307929	-1	ACAP3	ENSG00000131584	ENST00000354700.10
chr1	1308596	1	PUSL1	ENSG00000169972	ENST00000379031.10
chr1	1324659	-1	INTS11	ENSG00000127054	ENST00000435064.6
chr1	1324801	1	CPTP	ENSG00000224051	ENST00000343938.9
chr1	1331279	1	TAS1R3	ENSG00000169962	ENST00000339381.6
chr1	1349417	-1	DVL1	ENSG00000107404	ENST00000378888.10
chr1	1358542	-1	MXRA8	ENSG00000162576	ENST00000445648.5
chr1	1375206	-1	AURKAIP1	ENSG00000175756	ENST00000338338.10
chr1	1399334	-1	CCNL2	ENSG00000221978	ENST00000400809.8
chr1	1407292	-1	MRPL20	ENSG00000242485	ENST00000344843.12
chr1	1421275	-1	ANKRD65	ENSG00000235098	ENST00000537107.6
chr1	1425870	1	TMEM88B	ENSG00000205116	ENST00000378821.4
chr1	1435689	1	VWA1	ENSG00000179403	ENST00000476993.2
chr1	1449688	1	ATAD3C	ENSG00000215915	ENST00000378785.7
chr1	1471764	1	ATAD3B	ENSG00000160072	ENST00000673477.1
chr1	1512161	1	ATAD3A	ENSG00000197785	ENST00000378756.8
chr1	1540623	-1	TMEM240	ENSG00000205090	ENST00000378733.9
chr1	1574862	-1	SSU72	ENSG00000160075	ENST00000291386.4
chr1	1600134	-1	FNDC10	ENSG00000228594	ENST00000422725.4
chr1	1615499	1	MIB2	ENSG00000197530	ENST00000505820.7
chr1	1632172	1	MMP23B	ENSG00000189409	ENST00000356026.10
chr1	1659003	-1	CDK11B	ENSG00000248333	ENST00000341832.11
chr1	1692794	-1	SLC35E2B	ENSG00000189339	ENST00000617444.5
chr1	1724356	-1	CDK11A	ENSG00000008128	ENST00000404249.8
chr1	1778469	-1	NADK	ENSG00000008130	ENST00000341426.9
chr1	1891086	-1	GNB1	ENSG00000078369	ENST00000378609.9
chr1	1915259	1	CALML6	ENSG00000169885	ENST00000307786.8
chr1	1919278	-1	TMEM52	ENSG00000178821	ENST00000310991.8
chr1	2003785	-1	CFAP74	ENSG00000142609	ENST00000682832.2
chr1	2019359	1	GABRD	ENSG00000187730	ENST00000640067.1
chr1	2104715	1	PRKCZ	ENSG00000067606	ENST00000482686.5
chr1	2194771	-1	FAAP20	ENSG00000162585	ENST00000378546.9
chr1	2228318	1	SKI	ENSG00000157933	ENST00000378536.5
chr1	2391553	-1	MORN1	ENSG00000116151	ENST00000378531.8
chr1	2391840	1	RER1	ENSG00000157916	ENST00000605895.6
chr1	2412563	-1	PEX10	ENSG00000157911	ENST00000288774.8
chr1	2476288	1	PLCH2	ENSG00000149527	ENST00000378486.8
chr1	2526595	-1	PANK4	ENSG00000157881	ENST00000378466.9
chr1	2530262	-1	HES5	ENSG00000197921	ENST00000378453.4
chr1	2556370	1	TNFRSF14	ENSG00000157873	ENST00000355716.5
chr1	2586797	1	PRXL2B	ENSG00000157870	ENST00000378427.6
chr1	2633015	-1	MMEL1	ENSG00000142606	ENST00000378412.8
chr1	2801716	-1	TTC34	ENSG00000215912	ENST00000401095.8
chr1	3021466	1	ACTRT2	ENSG00000169717	ENST00000378404.4
chr1	3069202	1	PRDM16	ENSG00000142611	ENST00000270722.10
chr1	3454664	1	ARHGEF16	ENSG00000130762	ENST00000378378.9
chr1	3611507	-1	MEGF6	ENSG00000162591	ENST00000356575.9
chr1	3625014	1	TPRG1L	ENSG00000158109	ENST00000378344.7
chr1	3650102	-1	WRAP73	ENSG00000116213	ENST00000270708.12
chr1	3652515	1	TP73	ENSG00000078900	ENST00000378295.9
chr1	3752449	1	CCDC27	ENSG00000162592	ENST00000294600.7
chr1	3772770	1	SMIM1	ENSG00000235169	ENST00000561886.2
chr1	3796497	-1	LRRC47	ENSG00000130764	ENST00000378251.3
chr1	3857210	-1	CEP104	ENSG00000116198	ENST00000674623.1
chr1	3857475	1	DFFB	ENSG00000169598	ENST00000378209.8
chr1	3900257	-1	C1orf174	ENSG00000198912	ENST00000680535.1
chr1	4654608	1	AJAP1	ENSG00000196581	ENST00000378191.5
chr1	5992424	-1	NPHP4	ENSG00000131697	ENST00000378156.9
chr1	5992710	1	KCNAB2	ENSG00000069424	ENST00000653262.1
chr1	6180320	-1	CHD5	ENSG00000116254	ENST00000262450.8
chr1	6199594	-1	RPL22	ENSG00000116251	ENST00000234875.9
chr1	6206118	1	RNF207	ENSG00000158286	ENST00000377939.5
chr1	6235963	-1	ICMT	ENSG00000116237	ENST00000343813.10
chr1	6244178	1	HES3	ENSG00000173673	ENST00000377898.4
chr1	6261097	-1	GPR153	ENSG00000158292	ENST00000377893.3
chr1	6393766	-1	ACOT7	ENSG00000097021	ENST00000361521.9
chr1	6419918	-1	HES2	ENSG00000069812	ENST00000377834.8
chr1	6424775	1	ESPN	ENSG00000187017	ENST00000645284.1
chr1	6466172	-1	TNFRSF25	ENSG00000215788	ENST00000356876.8
chr1	6497423	-1	PLEKHG5	ENSG00000171680	ENST00000400915.8
chr1	6554512	-1	NOL9	ENSG00000162408	ENST00000377705.6
chr1	6555306	1	TAS1R1	ENSG00000173662	ENST00000333172.11
chr1	6579993	1	ZBTB48	ENSG00000204859	ENST00000377674.9
chr1	6602868	-1	KLHL21	ENSG00000162413	ENST00000377658.8
chr1	6613730	1	PHF13	ENSG00000116273	ENST00000377648.5
chr1	6625191	1	THAP3	ENSG00000041988	ENST00000377627.7
chr1	6701815	-1	DNAJC11	ENSG00000007923	ENST00000377577.10
chr1	6785453	1	CAMTA1	ENSG00000171735	ENST00000303635.12
chr1	7771295	1	VAMP3	ENSG00000049245	ENST00000054666.11
chr1	7784290	1	PER3	ENSG00000049246	ENST00000377532.8
chr1	7853064	-1	UTS2	ENSG00000049247	ENST00000361696.10
chr1	7940838	-1	TNFRSF9	ENSG00000049249	ENST00000377507.8
chr1	7961710	1	PARK7	ENSG00000116288	ENST00000338639.10
chr1	8026308	-1	ERRFI1	ENSG00000116285	ENST00000377482.10
chr1	8318113	1	SLC45A1	ENSG00000162426	ENST00000471889.7
chr1	8817639	-1	RERE	ENSG00000142599	ENST00000400908.7
chr1	8878685	-1	ENO1	ENSG00000074800	ENST00000234590.10
chr1	8945867	1	CA6	ENSG00000131686	ENST00000377443.7
chr1	9026422	-1	SLC2A7	ENSG00000197241	ENST00000400906.2
chr1	9069634	-1	SLC2A5	ENSG00000142583	ENST00000377424.9
chr1	9129101	-1	GPR157	ENSG00000180758	ENST00000377411.5
chr1	9234773	1	H6PD	ENSG00000049239	ENST00000377403.7
chr1	9292893	1	SPSB1	ENSG00000171621	ENST00000328089.11
chr1	9539464	1	SLC25A33	ENSG00000171612	ENST00000302692.7
chr1	9588910	1	TMEM201	ENSG00000188807	ENST00000340381.11
chr1	9651730	1	PIK3CD	ENSG00000171608	ENST00000377346.9
chr1	9823964	-1	CLSTN1	ENSG00000171603	ENST00000377298.9
chr1	9910268	-1	CTNNBIP1	ENSG00000178585	ENST00000377263.6
chr1	9943390	-1	LZIC	ENSG00000162441	ENST00000377223.6
chr1	9943474	1	NMNAT1	ENSG00000173614	ENST00000377205.6
chr1	9997227	1	RBP7	ENSG00000162444	ENST00000294435.8
chr1	10032957	1	UBE4B	ENSG00000130939	ENST00000343090.11
chr1	10210569	1	KIF1B	ENSG00000054523	ENST00000676179.1
chr1	10399063	1	PGD	ENSG00000142657	ENST00000270776.13
chr1	10430432	1	CENPS	ENSG00000175279	ENST00000309048.8
chr1	10430434	1	CENPS-CORT	ENSG00000251503	ENST00000602787.6
chr1	10450030	1	CORT	ENSG00000241563	ENST00000377049.4
chr1	10472528	-1	DFFA	ENSG00000160049	ENST00000377038.8
chr1	10474949	1	PEX14	ENSG00000142655	ENST00000356607.9
chr1	10796645	-1	CASZ1	ENSG00000130940	ENST00000377022.8
chr1	10964200	-1	C1orf127	ENSG00000175262	ENST00000418570.6
chr1	11012653	1	TARDBP	ENSG00000120948	ENST00000240185.8
chr1	11047238	-1	MASP2	ENSG00000009724	ENST00000400897.8
chr1	11060017	-1	SRM	ENSG00000116649	ENST00000376957.7
chr1	11099868	-1	EXOSC10	ENSG00000171824	ENST00000376936.9
chr1	11189354	1	ANGPTL7	ENSG00000171819	ENST00000376819.4
chr1	11262550	-1	MTOR	ENSG00000198793	ENST00000361445.9
chr1	11273197	1	UBIAD1	ENSG00000120942	ENST00000376810.6
chr1	11479154	1	DISP3	ENSG00000204624	ENST00000294484.7
chr1	11654428	-1	FBXO2	ENSG00000116661	ENST00000354287.5
chr1	11654876	1	FBXO44	ENSG00000132879	ENST00000251547.10
chr1	11664199	1	FBXO6	ENSG00000116663	ENST00000376753.9
chr1	11681147	-1	MAD2L2	ENSG00000116670	ENST00000376692.9
chr1	11691709	1	DRAXIN	ENSG00000162490	ENST00000294485.6
chr1	11736135	1	AGTRAP	ENSG00000177674	ENST00000314340.10
chr1	11762192	1	C1orf167	ENSG00000215910	ENST00000688073.1
chr1	11805963	-1	MTHFR	ENSG00000177000	ENST00000376590.9
chr1	11806190	1	CLCN6	ENSG00000011021	ENST00000346436.11
chr1	11847782	-1	NPPA	ENSG00000175206	ENST00000376480.7
chr1	11858944	-1	NPPB	ENSG00000120937	ENST00000376468.4
chr1	11926426	-1	KIAA2013	ENSG00000116685	ENST00000376572.8
chr1	11934716	1	PLOD1	ENSG00000083444	ENST00000196061.5
chr1	11980445	1	MFN2	ENSG00000116688	ENST00000675781.1
chr1	12019497	1	MIIP	ENSG00000116691	ENST00000235332.6
chr1	12063302	1	TNFRSF8	ENSG00000120949	ENST00000263932.7
chr1	12166990	1	TNFRSF1B	ENSG00000028137	ENST00000376259.7
chr1	12230029	1	VPS13D	ENSG00000048707	ENST00000620676.6
chr1	12618209	-1	DHRS3	ENSG00000162496	ENST00000616661.5
chr1	12644084	1	AADACL4	ENSG00000204518	ENST00000376221.2
chr1	12716109	1	AADACL3	ENSG00000188984	ENST00000359318.8
chr1	12746199	1	C1orf158	ENSG00000157330	ENST00000614859.5
chr1	12773737	1	PRAMEF12	ENSG00000116726	ENST00000357726.5
chr1	12791396	1	PRAMEF1	ENSG00000116721	ENST00000332296.7
chr1	12831409	-1	PRAMEF11	ENSG00000239810	ENST00000619922.1
chr1	12848719	-1	HNRNPCL1	ENSG00000179172	ENST00000317869.7
chr1	12857085	1	PRAMEF2	ENSG00000120952	ENST00000240189.2
chr1	12886200	-1	PRAMEF4	ENSG00000243073	ENST00000235349.6
chr1	12898269	-1	PRAMEF10	ENSG00000187545	ENST00000235347.4
chr1	12917624	1	PRAMEF7	ENSG00000204510	ENST00000330881.6
chr1	12947579	-1	PRAMEF6	ENSG00000232423	ENST00000376189.5
chr1	13056574	-1	PRAMEF27	ENSG00000274764	ENST00000436041.6
chr1	13061157	1	HNRNPCL3	ENSG00000277058	ENST00000681473.1
chr1	13070852	1	PRAMEF25	ENSG00000229571	ENST00000619661.2
chr1	13116853	-1	HNRNPCL2	ENSG00000275774	ENST00000621994.3
chr1	13156008	-1	PRAMEF26	ENSG00000280267	ENST00000624207.2
chr1	13165630	-1	HNRNPCL4	ENSG00000179412	ENST00000323770.8
chr1	13171847	1	PRAMEF9	ENSG00000204505	ENST00000415919.3
chr1	13201408	-1	PRAMEF13	ENSG00000279169	ENST00000625019.3
chr1	13226105	-1	PRAMEF18	ENSG00000279804	ENST00000624297.2
chr1	13254211	1	PRAMEF5	ENSG00000270601	ENST00000622421.2
chr1	13285173	-1	PRAMEF8	ENSG00000182330	ENST00000614831.1
