start,end
10469,10538
11520,11700
18780,18940
33687,33835
38307,38425
66942,67054
67435,67520
69460,69620
115405,115515
142180,142360
166453,166643
172180,172340
193404,193497
220981,221147
224460,224660
234588,234712
238000,238180
246551,246740
253380,253680
264740,264960
265680,265940
268460,268660
273501,273574
274622,274780
289940,290120
290220,290400
309420,309600
317500,317780
384007,384155
394040,394220
401465,401531
438129,438316
443884,444029
451694,451754
464964,465124
501260,501440
529480,529660
551820,551956
558060,558240
582640,583180
583760,583900
585499,585611
601000,601260
637060,637220
656828,656958
662640,662820
667460,667600
676040,676260
676780,677200
677380,677600
690960,691120
692880,693080
705980,706101
709000,709136
709260,709440
714380,714560
715980,716120
726302,726415
740120,740320
740680,740860
807460,807680
810500,810680
813020,813180
825034,825168
854540,854720
860620,860800
866419,866523
893460,893620
898480,898640
910175,910370
950700,950880
987498,987652
1005249,1005419
1082960,1083118
1136200,1136380
1140500,1140700
1227356,1227532
1246360,1246520
1271836,1271934
1282560,1282860
1441935,1442086
1519016,1519118
1546120,1546280
1547040,1547220
1549786,1549892
1550800,1550980
1556927,1557069
1558244,1558368
1585200,1585358
1589165,1589215
1592000,1592190
1613820,1613940
1659083,1659205
1675840,1676000
1750920,1751080
1769820,1770020
1817600,1817760
1823391,1823472
1839480,1839656
1854880,1855060
1857060,1857240
1886500,1886680
1888067,1888240
1897220,1897400
1900888,1901018
1910680,1910840
1940760,1940920
1967710,1967840
2057180,2057380
2095437,2095620
2102020,2102180
2120900,2121080
2142460,2142620
2234566,2234648
2291985,2292141
2324633,2324719
2328960,2329120
2379740,2379924
2398730,2398946
2476385,2476420
2527260,2527440
2543260,2543440
2573716,2573840
2573855,2574280
2613440,2613660
2661698,2661781
2665380,2665580
2683107,2683199
2692694,2692838
2698680,2698840
2706280,2706460
2709079,2709246
2719101,2719260
2766103,2766241
2766386,2766482
2770113,2770249
2773241,2773400
2844279,2844460
2847000,2847120
2887020,2887240
2941320,2941534
3001700,3001860
3037902,3037992
3062701,3062759
3078800,3078960
3095013,3095340
3095560,3095780
3104960,3105079
3105291,3105380
3107723,3107884
3116500,3116700
3134298,3134505
3144432,3144498
3151320,3151520
3179360,3179520
3180504,3180639
3198180,3198394
3203932,3204107
3303640,3303840
3304066,3304154
3316902,3317140
3361482,3361680
3365362,3365448
3365952,3366003
3376868,3377046
3377340,3377620
3377840,3378060
3379560,3379760
3380480,3380739
3386548,3386805
3398981,3399155
3424000,3424180
3442225,3442460
3443786,3443913
3458640,3458820
3462340,3462500
3480800,3480980
3488820,3489020
3489527,3489710
3491440,3491632
3493780,3493980
3494080,3494400
3518420,3518620
3518840,3519260
3519480,3519660
3520488,3520665
3523180,3523360
3523733,3523840
3535940,3536380
3536820,3537000
3558320,3558640
3559160,3559340
3559420,3559643
3563660,3563920
