start,end
2787073,2787171
2800360,2800540
2818740,2818880
2821660,2821860
2841500,2841660
2857760,2857940
2860639,2860820
2888040,2888240
2907360,2907520
2913240,2913420
2934140,2934320
2934960,2935240
2935800,2936140
2937223,2937398
2937870,2937952
2946144,2946291
2973272,2973383
3002779,3002980
3003160,3003500
3003827,3004036
3060780,3060980
3094060,3094216
3123640,3123780
3239113,3239260
3280420,3280580
3297418,3297560
3327260,3327341
3391620,3391760
3405680,3405860
3527120,3527280
3595386,3595492
3622226,3622307
3749470,3749520
4099962,4100085
4152562,4152725
4154240,4154347
4247461,4247514
4403972,4404041
4483800,4483940
4571620,4571714
4685789,4685875
5000246,5000316
5136118,5136210
5766945,5767013
5938500,5938714
5998720,5998760
5999286,5999340
6533934,6534020
6673560,6673720
6811760,6811940
6909183,6909240
6911208,6911322
6947820,6947974
6964860,6965040
6966642,6966755
7008056,7008196
7063358,7063480
7085720,7085920
7092920,7093100
7227430,7227614
7234951,7235200
7272640,7272820
7272920,7273100
7273200,7273440
7273600,7274060
7274700,7274880
7279606,7279701
7311006,7311180
7344780,7344980
7392604,7392706
7415420,7415541
7434040,7434134
7457707,7457793
7465367,7465475
7469140,7469243
7527789,7527896
7557780,7557980
7718660,7718900
7794584,7794696
7819059,7819240
7838705,7838768
7874160,7874380
7936240,7936360
7957880,7958080
8126280,8126407
8241260,8241420
8318272,8318360
8393325,8393480
8541422,8541617
8706167,8706221
8763740,8763900
8781329,8781453
8807760,8807940
8808700,8808880
8888520,8888636
9041630,9041760
9124760,9124940
9126700,9126727
9126752,9126800
9161080,9161280
9235380,9235460
9968496,9968640
9993680,9993835
10182660,10182814
10627240,10627420
10661280,10661466
10974171,10974292
10986700,10986856
11103120,11103285
11156330,11156440
11334278,11334420
11403565,11403692
11461540,11461680
11644359,11644380
11678125,11678187
11689723,11689840
11834300,11834480
11905526,11905640
12050640,12050743
12274407,12274591
12296500,12296696
12305560,12305760
12309300,12309460
12343240,12343440
12358487,12358582
12359980,12360140
12391826,12391994
12392200,12392440
12395865,12396051
12421220,12421340
12421580,12421760
12431660,12431840
12458620,12458815
12469160,12469400
12479480,12479680
12490958,12491180
12533300,12533460
12536560,12537160
12537480,12537740
12554100,12554281
12555160,12555340
12556488,12556719
12584420,12584560
12621800,12621960
12643118,12643253
12644060,12644280
12651600,12651880
12662180,12662460
12663060,12663500
12693420,12693620
12733717,12733899
12748188,12748300
12749420,12749600
12809140,12809300
12823480,12823680
12826880,12827060
12904640,12904880
12905180,12905360
12905580,12905780
12906040,12906211
12928160,12928320
12954040,12954235
12981146,12981220
13017660,13017794
13053600,13053800
13082860,13083040
13105300,13105402
13149300,13149491
13167828,13167984
13168344,13168724
13174307,13174385
13227452,13227620
13282320,13282500
13282760,13283000
13299460,13299620
13343640,13343820
13361820,13362000
13368200,13368460
13378126,13378260
13429699,13429900
13435460,13435641
13435980,13436180
13436620,13436780
13475200,13475286
13478440,13478640
13479360,13479660
13480000,13480200
13501320,13501520
13552600,13552820
13552973,13553043
13571080,13571240
13675380,13675540
13702400,13702580
13703640,13703980
13704140,13704600
13705320,13705500
13729660,13729820
13738740,13738900
13751540,13751720
13752160,13752356
13754794,13754909
13824924,13825031
13830500,13830617
14115120,14115148
14231820,14231980
14232264,14232346
14277184,14277320
14315520,14315588
14328800,14329020
14340800,14341060
14345100,14345280
14437833,14437900
14498191,14498420
14524680,14524880
14525300,14525673
14525786,14525880
14601530,14601607
14618643,14618789
14631780,14631980
14644316,14644409
14696018,14696140
14749335,14749391
14798120,14798320
14802260,14802420
14804140,14804340
14828620,14828860
14834800,14834980
14850860,14851020
14963800,14963885
15229140,15229340
15292989,15293141
15324303,15324440
15360600,15360740
15424654,15424880
15425000,15425173
15453040,15453200
15455120,15455360
15456020,15456300
15456620,15456820
15468200,15468360
15469740,15469940
15478480,15478920
15535860,15536060
15559320,15559480
15579382,15579520
15593849,15594000
15605657,15605816
15625040,15625200
15625280,15625460
15660791,15660960
15690120,15690300
15705840,15706080
15709060,15709240
15749500,15749860
15750120,15750420
15751120,15751300
15773894,15774025
15800163,15800223
15806123,15806320
15926593,15926710
15951160,15951300
15978578,15978780
16075812,16075980
16128415,16128480
16474200,16474380
16475540,16475690
16562640,16562800
16586098,16586140
16639860,16640040
16654111,16654240
16726160,16726257
16896489,16896540
16959200,16959360
17044460,17044599
17044993,17045188
17071267,17071340
17082480,17082640
17137140,17137300
17142802,17142904
17184460,17184576
17238521,17238680
17281220,17281380
17320020,17320200
17339140,17339320
17341860,17341893
17398400,17398600
17405140,17405300
17421177,17421327
17430680,17430860
17952300,17952520
18653940,18654020
18669860,18670060
18884860,18885100
18906360,18906520
18932380,18932560
18970564,18970665
18997772,18997907
19015920,19016120
19076000,19076240
19076900,19077200
19167360,19167460
19167540,19167636
19232380,19232560
19232700,19232900
19235781,19235941
19265480,19265660
19265900,19266080
19268340,19268720
19271912,19272080
19304840,19305040
19314073,19314173
19354140,19354340
19354780,19355080
19400140,19400340
19405700,19405920
19410520,19410760
19411040,19411300
19411420,19411717
19428000,19428127
19433160,19433340
19467126,19467223
19503073,19503220
19503280,19503440
19535140,19535300
19535380,19535600
19536312,19536380
19567040,19567360
19567626,19567940
19577320,19577489
19606785,19607000
19621800,19622040
19680176,19680239
19744680,19744960
19817060,19817240
19832440,19832580
19843040,19843237
20127125,20127196
20346595,20346687
20400540,20400700
20447800,20447920
20558800,20558980
20575040,20575380
20575520,20575800
20576538,20576720
20581741,20581823
20648065,20648152
20649000,20649180
20664180,20664420
20683550,20683643
20714490,20714700
20740740,20740920
20745120,20745300
20758540,20758720
20798361,20798448
20801549,20801734
20828460,20828640
20828760,20828900
20871340,20871460
20888040,20888220
20929800,20930000
21092032,21092190
21302529,21302639
21310243,21310379
21468021,21468082
21703053,21703185
21705454,21705595
22370740,22370920
26315160,26315320
